Timestamp,Full problem credits (Only copy the full italicized portion at the bottom),"Revised Question Text (Optional, don't include italicized credits part)","Revised Fermi Answer, (Optional) ->  Must be an integer","Explanation (If changing answer, provide a brief explanation for how the new answer was reached, nothing insanely long or fancy needed)","Credits (Optional, but we want to thank whoever fixed the problem :D, preferred discord or forums name) "
10/21/2023 18:22:50,"Duke Invitational 22-23, #40        ",,8,"molar mass of benzene is 78.11g which is 7.8e7 micrograms, making the answer 8 not 7 since you round up. ",
10/21/2023 18:28:44,"RobertYL, daily fermi questions day #67 [2018 WWPN Tryouts Q1]        ",,25,"24 in each mol, i doubt you have over 100 mols in a cup of water cause that would be a kilogram",
10/21/2023 21:48:54,"BullSO Invitational 22-23, #10        ",,1,"6.3% is above 5, which means the Fermi answer should be 1",
10/26/2023 7:56:18,"UT Austin Invitational 17-18, #21        ",,23,"There are 1.335x10^21 liters of water in the oceans, and since there are about 200 teaspoons in a liter, the answer should be 2x10^23->23.",emptiespace on disc
10/26/2023 8:00:09,"RobertYL, daily fermi questions day #85 [2018 U Georgia Q2]        ",,3,Google (i think the first result is right),emptiespace
10/26/2023 13:37:27,"Columbia Invitational 17-18, #16        ","Using just the letters in the alphabet, how many unique 26-letter sequences are possible?

",37,"Gm...

it is 26 to power 26... equal 6156119580207157310796674288400203776..

methinks answer thus 37..

RB",Craig buszka
10/26/2023 14:07:37,"RobertYL, daily fermi questions day #131 [2019 New Trier Q10]        ",How many licks to the center of a tootsie pop?,2,Google and nigahiga,
10/26/2023 16:47:23,"Yale Invitational 17-18, #5        ",,-1,The answer is requested in kg. The weight is 174g and is about 10^-1 in kg. ,uknow4546
10/26/2023 16:49:59,"UT Austin Regionals 22-23, #14        ",,15,6.7*10^14 is the exact answer and would be 15 in Fermi. ,uknow4546
10/26/2023 17:11:41,"Rice Invitational 17-18, #3        ",0.1^89,,1^89 is 1... which happens to be a fermi answer of 0. ,
,,,,,
10/28/2023 2:51:37,"Duke Invitational 22-23, #36        ",What percentage is that volume compared to mL of water on Earth? [That volume: mL of blood does our heart pumps each day],,,None
10/28/2023 4:00:03,"Princeton Invitational 17-18, #60        ","The Ackermann function is defined by 
• A(0, n) = n + 1 • A(m, 0) = A(m − 1, 1)
• A(m, n) = A(m − 1; A(m, n − 1)) 
Some values include: A(2, 3) = 9 and A(4, 1) = 65533
What is A(4, 2)? [SI/2017 USD]",,,None
10/29/2023 0:26:34,"SOAPS Invitational 22-23, #25        ","The current meerkat population is about 500,000. Approximately how many of these meerkats will be murdered by their own species if we follow all of them to their cause of death? Hint: Meerkats have been deemed the ""most murderous"" mammal species.",5,"Given answer of 5 is impossible since 10^5 > 500; correct answer is 100 (2), as per this study: https://www.npr.org/sections/thetwo-way/2016/09/28/495798448/what-meerkat-murder-tells-us-about-human-violence ",__lockheedmartin (discord)
10/29/2023 20:34:49,"MIT Invitational 22-23, #27        ",43^29,,It looks like they meant 43^29 since the answer would be 47,
10/29/2023 21:28:53,"High Desert Mini Invitational 22-23, #6        ",How tall is Mount Everest (in meters)?,,,
11/1/2023 20:10:08,"UChicago Invitational 22-23, #1        ",,19,"A study in the journal Earth Surface Processes and Landforms, written by Dr. Robert A. Morton of the U.S. Geological Survey, predicted that there are 7.5*10^18 grains of sand on earth. Based off other sources this is also the accepted number in academia.",
11/4/2023 9:26:39,"RobertYL, daily fermi questions day #33 [2018 Westlake Q47]        ",,-21,Diameter of a helium atom is 9.8*10^-11 meters and the diameter of the sun is 1.3927 * 10^9 meters.  Dividing this gives us 7.0366913*10^-20 which is -21 in fermi units.,BTHS Science Olympiad!!
11/5/2023 14:31:34,"Golden Gate Invitational 22-23, #31        ","They say that it took Thomas Edison 1,000 tries to successfully create the first lightbulb. How many Navajo Indians died in that amount of time?",,,
11/6/2023 10:51:04,"UChicago Invitational 22-23, #33        ",,8,"238,900 miles to the moon * 1 hour / 3 miles (average walking pace) * 60 mins / 1 hr * 60 sec / 1 min = 286,680,000 seconds, or 2.8 * 10^8, answer is 8",
11/6/2023 14:59:29,"Rice Invitational 17-18, #10        ",,-6,i hope the question meant -6,
,,,,,
,,,,,
11/7/2023 13:25:51,"SOUP Invitational 22-23, #31        ",,8,"Maybe people got less interested in making soup or something, but 300 million->8 results show up if you look it up on a standard school laptop.",emptiespace
11/7/2023 14:24:36,"Clements Invitational 17-18, #7        ",,21,"Gm...
Surface area of Moon is 3.8 10^13 m^2...
so Volume of Glass.. is.. 1.9 * 10^12 m^3 OR 1.9 * 10^18 cm^3
THUS... around 4 * 10^18 gram or 4 * 10^21 milligram

RB",Ryan park
11/8/2023 15:56:51,"RobertYL, daily fermi questions day #110 [2019 Monta Vista Q22]        ",,9,The US GDP is 2*10^13 USD and the average cost of a car is 3.5*10^4 USD.  When you divide these 2 you get 6.5*10^8 and then you round up to get 10^9,BTHS SciOly
11/9/2023 16:31:53,"North Pocono Invitational 22-23, #15        ",How many galaxies are in the local group?,0,"Im relatively sure the Milky Way is a galaxy, which means theres only one galaxy in the Milky Way. Kinda similar to ""how many countries are in the U.S.?"" i think.",emptiespace
11/10/2023 8:04:00,"SSSs Fermi (luminosityfan) 17-18, #12        ",,8,"Google says that the Atlantic is 4.9 million meters, and that a snail speed is 0.01 meters per second. This gives 4900000/0.01->8 as the fermi answer.",emptiespace
11/10/2023 8:34:01,"SSSS Fermi (randomsci) 22-23, #27        ",,78,The Google Calculator says 6x10^77 -> 78 for the fermi answer.,emptiespace
11/10/2023 8:37:09,"Seven Lakes Invitational 22-23, #38        ",,4,"Google says that it takes 820 hours to walk to the end of a minecraft world. Multiply this by 60 to get 49200. This gets pretty close to the 5 midpoint, but does round down to 4.",emptiespace
11/11/2023 9:53:51,"SSSS Fermi (Adi1008) 17-18, #49        ",,2,Simply divided the thickness of the average piece of paper by the wavelength of blue light,
11/11/2023 22:17:49,"Yale Invitational 17-18, #22        ",Evaluate (πe)^(πe),,,None
11/11/2023 22:19:17,"Yale Invitational 17-18, #19        ",It's Chris's birthday! How many times should he roll a fair 10^10000-sided die before expecting to see a number twice (not necessarily consecutively) ?,,,None
11/14/2023 7:39:50,"Rice Invitational 17-18, #1        ",,9,"When you put 2^32 in a calculator, you get 4294967296 which is 4.2*10^9 so the answer is 9",BTHS Science Olympiad
11/14/2023 14:08:24,"BirdSO Satellite Invitational 21-22, #11        ",What is the sum of the numbers from 1 to 10^5 ?,,"Sum of numbers 1-105 is 5,565, or 4.",Asher N
11/14/2023 14:21:47,"Seven Lakes Invitational 17-18, #7        ","On a chess board, suppose that the queens must be arranged in a manner such that none of the queens could capture another (i.e. none of the queens can be under attack). How many such configurations are possible? Do not include boards that are reflections, rotations, etc.",,"This helps to clarify what the question is about. It was kind of ""cut off"" in the beginning.",
11/15/2023 8:46:39,"Columbia Invitational 17-18, #41        ",,5,"After using compound interest formula, you get around 95K, which round to 10^5.",
11/15/2023 12:37:34,"SOAPS Invitational 22-23, #25        ",,2,"Given answer of 5 is impossible since 10^5 > 500; correct answer is 100 (2), as per this study: https://www.npr.org/sections/thetwo-way/2016/09/28/495798448/what-meerkat-murder-tells-us-about-human-violence",
11/15/2023 16:09:55,"RobertYL, daily fermi questions day #6 [2019 Virginia Tech Q4]        ",,22,"Volume of Pacific Ocean is 5E+17m^3, roughly 1e+4 sheets of paper fit in a cubic meter. Should be 21 or 22.",
11/17/2023 10:17:43,"Seven Lakes Invitational 17-18, #11        ","Suppose that Feliks Zemdegs (a speedcuber from Australia) takes 10 seconds to solve every Rubik's cube. How long would it take him, in years, to solve the number of cubes found in the question above? [Number of cubes = total arrangements of rubiks cubes]",,"This question should not be included as it references a previous question, which is not displayed.",
11/17/2023 20:55:16,"RobertYL, daily fermi questions day #22 [2018 Acton-Box Q15]        ",,7,Searched it up on google. It is around 20 million (10^7),Purple
11/17/2023 22:03:24,"Princeton Invitational 17-18, #46        ",,,"Google says it's ~5700 years, which is fermi 4 (original answer fermi 11)",
11/18/2023 8:20:31,"BirdSO In-Person Invitational 22-23, #1        ",,,"The mass of the sun and the solar mass is around the same, where did 6 come from",
11/18/2023 9:30:24,"RobertYL, daily fermi questions day #80 [2019 U Chicago Q21]        ",,9,I have been listening to Gucci Gang since 1776 and I can confirm this answer is right,Ryan park
11/18/2023 10:23:18,"RobertYL, daily fermi questions day #109 [2018 U Florida Regionals Q14]        ",,19,I used a pipette and confirmed it myself,Ryan park
11/18/2023 11:54:05,"RobertYL, daily fermi questions day #96 [2018 Monta Vista Tryouts Q1]        ",,27,The volume of is 10^21 meters and the weigh of water per cubic meter is 10^3 kg and kg to g is 10^3. Mutiply everything and we get 10^27,
11/18/2023 22:21:02,"High Desert Satellite Invitational 22-23, #11",How tall is Mount Everest in meters?,,,
11/20/2023 22:19:51,"Columbia Invitational 17-18, #41        ",,5,"This is an interest question, to solve this you do 1500*(1.05)^85 which results in approximately 950,00, if continuously compounded it would be about 105,000, both of which are rounded to 100,000 which in fermi notation is 5",iampotatoz
11/22/2023 15:46:29,"SOAPS Invitational 22-23, #25        ",,,the explanation literally says 2 but it says the answer is 1,
11/22/2023 18:00:09,"Captains Tryouts Carmel 17-18, #5        ","How many pennies are in $5,645",,,
11/25/2023 11:30:54,"SSSS Fermi (luminosityfan) 17-18, #20        ",,18,"https://www.usgs.gov/faqs/how-much-natural-water-there#:~:text=Earth%20is%20estimated%20to%20hold,glaciers%20(fresh)%2024%2C064%2C000%20cubic%20kilometers ",Discord: errorfunction
11/25/2023 13:15:23,"RobertYL, daily fermi questions day #17 [2018 Westlake Q24]        ",,4,"https://www.aar.org/wp-content/uploads/2021/02/AAR-Ohio-State-Fact-Sheet.pdf 

The Association of American Railroads states in the above pdf that there's 5,139 miles of railroad tracks, so the answer would round up to 4. I hope I'm not coming off sounding mean; just want the info as accurate as possible  👍",thatperson2647
11/27/2023 8:55:34,"MIT Invitational 18-19, #30        ",,5,"16 Disney-owned movies were released in 2016; an average of 2 hours per movie moves around 97,000 seconds. Final answer is 5",@tripleqgaming (discord)
11/27/2023 13:52:51,"BullSO Invitational 22-23, #27        ","A particle is placed in a rigid box (the walls are impenetrable). What is the probability of finding it anywhere within (percent)? For reference, the one dimensional wave equation is ψ=Asin[(nπ/L)*x]",,Clarifying the problem because it's 2 as in 100%,
11/27/2023 13:58:14,"Captains Tryouts Carmel 17-18, #5        ",,6,564500 pennies is rounded 1000000 = 10^6,
11/28/2023 10:11:03,"Captains Tryouts Carmel 17-18, #41        ",,4,"according to this:https://kokumura.medium.com/how-japanese-people-eat-so-much-white-rice-yet-stay-lean-4e1166d70f3c#:~:text=Japanese%20people%20eat%20lots%20of,lunches%20and%20in%20government%20cafeterias. 
japanese people eat 82kg of rice yearly, converting to pounds and multiplying by a rougly 80 year lifespan we get ~14000 pounds in a lifetime, which is 4",Trainboi01
11/29/2023 14:05:39,"RobertYL, daily fermi questions day #133 [2019 Dartmouth Q16]        ",,5,"100 pizzas * $10/pizza * 100 pennies/dollar = 10^5

CJB",Ryan park
11/30/2023 12:37:33,"RobertYL, daily fermi questions day #73 [2019 Northmont Q75]        ",,8,12 bacteria on 4 sq cm of skin,
12/1/2023 10:34:21,"SSSs Fermi (rafaelnadal) 17-18, #34        ",,,real answer would be n where 300*2^n=c,
12/1/2023 11:56:29,"MIT Invitational 22-23, #24        ",,2,"The average square foot of grass has 3,000 blades (https://www.quora.com/Has-anyone-ever-calculated-how-many-blades-of-grass-are-in-a-typical-lawn#:~:text=The%20average%20square%20foot%20of,Oklahoma%20Museum%20of%20Natural%20History%20.), so one foot likely contacts about a tenth of that area (average foot is 100 cm^2 = 0.1 ft^2), so about 300 blades are contacted",errorfunction
12/4/2023 11:27:00,"RobertYL, daily fermi questions day #111 [2019 SOUP Q38]        ",,7,"According to the Cleveland Clinic, humans breath around 12-18 times per minute. The average test taker could, using simple observation, presume a similar rate. There are around 5 * 10^5 minutes in a year. That's a range of 6-9 * 10^6, which provides a Fermi answer of 7. Even without this knowledge, an answer of 9 suggests around 30 breaths per second, with is plainly wrong up or down an order of magnitude.",
12/4/2023 11:35:45,"Captains Tryouts Carmel 17-18, #41        ",,4,"Most sources (Statista, for instance) suggest that the average Japanese eats just under 100 pounds of rice per year. This is around a bowl of rice a day, if we were to make a reasonable guess during a test. The Japanese life expectancy also happens to be just under 100 (mid-80s). 10^2 * 10^2 produces a Fermi number of 4.",
12/4/2023 19:57:28,"Princeton Invitational 17-18, #2        ",,4,"The previous answer was -4, which isn't even possible, and online it says that they have 5,604 undrgrad students which is 4 in fermi units.",Brooklyn Technical High School SciOly
12/6/2023 17:04:03,"SOUP Invitational 22-23, #18        ",,12,"log of [44^9 (characters expected for the monkeys to type out one ""GOOD SOUP"") divided by 400 characters per minute (100 wpm = 400 cpm)] ",
12/7/2023 16:50:04,"RobertYL, daily fermi questions day #102 [2018 Princeton Q A39]        ",,-5,"Volume of a grain of rice is about 0.02 mL = 2e-5 L, so the fraction of the 2L bottle occupied is 1e-5",errorfunction
12/8/2023 11:42:21,"Captains Tryouts Carmel 17-18, #5        ",,6,"$5645, each $ has 100 pennies, so total is 5.645e3 * 1e2 which rounds up to an answer of 6",
12/8/2023 13:46:28,"Yale Invitational 17-18, #21        ",How many primes are less than 10^100?,,,greg
12/9/2023 9:28:54,"MIT Invitational 21-22, #36        ",,27,"Solar constant (flux) is about 1368 W/m^2 (note W = J/s), so energy captured in a minute is 60s * 1368 W/m^2 = 82000 J. Energy consumption of a 1600 lumen lightbulb is about 15 W, so the lightbulb stays on for 82000 J / 15 W = 5500 s. A jiffy is 3e-24 seconds, so converting to jiffies, the time is 1.8e27 jiffies, so the answer is 27.",errorfunction
12/10/2023 14:29:31,"Captains Tryouts Carmel 17-18, #21        ",,7,"Your heart beats once per second at least, 1.5 e7 seconds in half of a year (six months)",
12/10/2023 14:55:44,"North Pocono Invitational 22-23, #2        ",How many NERDS ropes would it take to wrap around Mars?,,"what does it mean ""in miles"" sir?????",
12/10/2023 15:02:27,"Seven Lakes Invitational 18-19, #12        ",Find 3^33,,,
12/14/2023 18:06:49,"Captains Tryouts Carmel 17-18, #18        ",,-11,K.E. = 1/2 m v^2 = 1/2 * 1.67 * 10^-27 * (1.5 * 10^8)^2 = ,
12/14/2023 18:22:45,"Captains Tryouts Carmel 17-18, #36        ",,12,3*10^8 m/s * 60 s/minute * 36 inch/meter (also google),
12/14/2023 18:49:42,"North Pocono Invitational 22-23, #21        ",,,idk the intended question but hour per hour is really sussy,
12/15/2023 7:15:34,"Rickards SO Invitational 22-23, #42        ",,4,5190 is not the fermi answer it is the normal answer,Paresh
12/15/2023 11:51:46,"BirdSO Invitational 20-21, #17        ",How many feathers equal the weight of the heaviest slug species?,4,"Heaviest slug species (California slug) is 0.25 pounds, weight of a feather is 8.2 milligrams. 13,829 feathers equal the weight of a California slug)",
12/16/2023 10:26:34,"Princeton Invitational 17-18, #2        ",,4,"The enrollment in 2017-2018 was 5,260, meaning that the fermi number should be 4",King Von
12/16/2023 11:13:45,"Harvard Invitational 22-23, #4        ",,38,"2 mols released per tree per year, 12 trees, 2 + 12 + 24 = 38",
12/18/2023 17:07:56,"RobertYL, daily fermi questions day #53 [2018 Westlake Q27]        ",,8,"distance from earth to moon, 3e8 meters, each german shepard is on average 1m long so 8 are needed",
12/18/2023 17:15:25,"Captains Tryouts Carmel 17-18, #38        ",,16,"whether using simple or compound interest, 1000(1.03)^1000 or 1000e^(1000*.03) gives 16",
12/20/2023 8:40:22,"Captains Tryouts Carmel 17-18, #24        ",,6,"Volume of m&m is about 0.6 mL, available volume of car is about 2000 L (3000L before subtracting stuff like engine, seats, etc.), 2000L / (6e-4 L) = 3.33 million, so the answer is 6",errorfunction
12/23/2023 10:53:36,"BirdSO Satellite Invitational 21-22, #41        ",,,the size n is not shown (unless this is intentional),
12/23/2023 10:55:22,"Seven Lakes Invitational 17-18, #2        ",What is 7^45?,,"caret not shown, the answer 38 thus makes no sense (745 -> 3)",
12/23/2023 10:57:09,"Seven Lakes Invitational 17-18, #5        ","The largest prime number discovered to date is 2^74,207,281 - 1. How many digits does this number have?",,missing caret and +1,
1/3/2024 13:19:25,"RobertYL, daily fermi questions day #3 [2018 Princeton Q B9]        ",What is the number of cells in an adult male human body?,13,"According to a new analysis of more than 1,500 papers, the average adult male human has around 36 trillion cells — that's 36 followed by 12 zeros — while adult females have 28 trillion and 10-year-old children have about 17 trillion.",Troy Athens SciOly
1/6/2024 14:04:24,"Cornell Invitational 22-23, #13        ",What fraction of the distance from the Earth to the Moon is the height of this text?,-12,"Assuming the term ""height"" in this question refers to the height of the text, 12 point font is about 1/6 of an inch. The distance from the earth to the moon is about 238,900 miles, or 1,261,392,000 feet, or 15,136,704,000 inches, or 90,820,224,000 size 12 picapoints. So if you were to express the height of a sentence in 12 point font as a fraction of the distance from the earth to the moon, it'd be 10 to the negative 12th. This question is a bit vague, but I don't see any way for the answer to logically be 10 to the 0th, considering that is scientific notation for 1. Maybe it was originally referencing the answer to the previous problem, in which case you may choose to include the previous problem as well to make this one solvable. Thank you!",Emily G.
1/8/2024 8:45:12,"University of Florida North Regional 17-18, #42        ",,16,google it lol,Ryan park
1/8/2024 8:52:43,"Golden Gate Invitational 22-23, #43        ","How many iron atoms are on the tip of a safety pin (the pointy part)?

",,typically the head of a pin refers to the round part,P JAYA
1/8/2024 13:16:43,"RobertYL, daily fermi questions day #125 [2018 Centerville Q18]        ",,1,"I dont know if the fizz is right here, but if the answer is 5g=50->2, g is less than 10, so the answer should be 1.",emptiespace
